city,latitude,longitude,safety_index,health_care_index,cost_of_living_index,pollution_index
New York,40.7127281,-74.0060152,49.09,62.56,100.00,58.23
Los Angeles,34.0536909,-118.242766,46.23,61.58,77.09,68.06
Chicago,41.8755616,-87.6244212,33.99,65.33,72.61,50.83
Houston,29.7589382,-95.3676974,36.46,69.65,61.43,56.79
Phoenix,33.4484367,-112.074141,46.94,66.45,63.56,57.58
Philadelphia,39.9527237,-75.1635262,33.94,70.19,73.71,47.93
San Antonio,29.4246002,-98.4951405,52.20,68.33,58.77,43.86
San Diego,32.7174202,-117.162772,60.10,67.77,78.97,39.28
Dallas,32.7762719,-96.7968559,48.49,66.09,65.47,40.91
Austin,30.2711286,-97.7436995,57.86,68.17,61.86,43.54
Jacksonville,30.3321838,-81.655651,43.62,73.60,59.35,38.68
San Jose,37.3361663,-121.890591,52.65,66.61,81.10,49.06
Indianapolis,39.7683331,-86.1583502,39.29,71.40,61.18,43.17
San Francisco,37.7792588,-122.4193286,38.58,64.77,89.46,50.03
Columbus,39.9622601,-83.0007065,50.35,70.66,66.28,29.89
Fort Worth,32.753177,-97.3327459,56.81,64.62,63.30,53.43
Charlotte,35.2272086,-80.8430827,53.48,69.21,69.38,35.26
Detroit,42.3315509,-83.0466403,27.03,62.41,63.40,61.40
Oklahoma City,35.4729886,-97.5170536,50.63,69.45,63.70,27.19
El Paso,31.7601164,-106.4870404,67.49,62.21,61.34,45.49
