city,name,latitude,longitude
New York,Allentown,42.8995932,-78.87659
New York,West Village,42.8906913,-78.8804389
New York,Elmwood Village,42.9150876,-78.8747362
New York,Audubon Landing,43.0330402,-78.8151261
New York,Camp Chingachgook,43.5184792,-73.628133
New York,Breezy Point,40.5561885,-73.9224127
New York,Rockaway Point,40.5607186,-73.9182014
New York,Neponsit,40.5730825,-73.859917
New York,Seaside,40.5829612,-73.826026
New York,Belle Harbor,40.5767416,-73.8478774
New York,Roxbury,40.5662288,-73.8904487
New York,Broad Channel,40.6061969,-73.8198596
New York,Heer Park,40.6717627,-73.3722111
New York,Brooklyn Heights,40.6955775,-73.9952814
New York,Cobble Hill Historic District,40.6873697,-73.9965045
New York,Carroll Gardens Historic District,40.6800528,-73.9934464
New York,Boerum Hill Historic District,40.6855404,-73.9859521
New York,Sea Gate,40.5767475,-74.0074554
New York,North Park,42.9477385,-78.8565567
New York,Bushwick,40.6964385,-73.9192219
New York,Padgham Hill,43.0134558,-77.3521125
New York,913 - ASG Ring,40.8742287,-72.8801766
New York,Middle Village,40.7183976,-73.8822935
New York,Rego Park,40.723409,-73.8627982
New York,Forest Hills,40.7225377,-73.8437289
New York,Forest Hills Gardens,40.715612,-73.8426271
New York,Ridgewood,40.7028453,-73.9070643
New York,Pomonok,40.7323476,-73.8080585
New York,Fresh Meadows,40.7352499,-73.7793805
New York,Sunset Park,40.6506714,-74.0096643
New York,LeFrak City,40.7363212,-73.8623147
New York,Park Slope,40.6707289,-73.9813338
New York,New York,28.4762863,-81.4692443
New York,Chelsea District,40.7471381,-73.9980827
New York,Aspenwood,42.8201603,-73.7870702
New York,Foxwood Apartments,42.8093099,-73.7953643
New York,Forest Pointe,42.8052758,-73.7950229
New York,Grooms Point,42.8391207,-73.7988062
New York,Stony Creek,42.8144695,-73.7935132
New York,Shirewood,42.8177636,-73.793841
New York,Fort Greene,40.6901112,-73.9747704
New York,Unknown,40.7151861,-74.0004206
New York,Ramblewood Mobile Home Park,40.9473388,-72.8187043
New York,Center Square,42.6540606,-73.7629347
New York,Historic Grove Street Neighborhood,43.1597615,-77.600702
New York,Crescent Village Apartments,42.8165283,-73.7838962
New York,Boerum Hill,40.6857934,-73.9852945
New York,Downtown Brooklyn,40.6914533,-73.9855931
New York,Ditmas Park,40.6375991,-73.9634042
New York,Sunset Island,43.3164283,-78.8407701
New York,Bath Beach,40.5966991,-74.0012952
New York,Gravesend,40.5951016,-73.9736515
New York,West Brighton,40.5784666,-73.9747463
New York,University Hill,42.4479688,-76.4928309
New York,Kensington Village,41.7750164,-73.9122023
New York,Brighton Beach,40.5796494,-73.9613543
New York,Dyker Heights,40.6215675,-74.010811
New York,General Electric Realty Plot,42.816523,-73.9204785
New York,Hinman Quad,42.0869712,-75.9721451
New York,Mountainview Community,42.0847048,-75.9703256
New York,Dickinson Community,42.0867481,-75.9638417
New York,Newing Community,42.0885351,-75.9621019
New York,Deer Run Condominiums,41.4287261,-74.441486
New York,Sunrise Hills,41.4699766,-74.407084
New York,Chestnut Hill Subdivision,41.4241564,-74.439345
New York,Van der Voort & DeBeauvernet Subdivision,41.4253971,-74.4419443
New York,Presidential Heights,41.465261,-74.4202406
New York,Central Park Subdivision,41.4597136,-74.4137899
New York,Amp Rentals Inc,41.4263648,-74.4404327
New York,The Meadows,41.4413464,-74.385006
New York,Berdell Subdivision - 12 acres,41.4054513,-74.3248449
New York,Presidential Ridge,41.4643895,-74.4275028
New York,Randall Heights,41.462085,-74.4276239
New York,Fairlawn Estates Condominiums,41.452498,-74.403546
New York,Unknown,41.4317664,-74.4952925
New York,Highrose Ridge,41.4340442,-74.4490718
New York,Wallkill Associates Subdivision,41.475994,-74.3821635
New York,Lynwood Hills,41.4744154,-74.3853369
New York,Glen Park - 15 acres,41.4766326,-74.5483124
New York,Unknown,41.4549778,-74.4082858
New York,Butterfield Estates,41.3462388,-74.4855232
New York,Middletown Mews,41.4292797,-74.4444319
New York,Unknown,41.4285394,-74.4473971
New York,Aspen Townhouses,41.4342112,-74.4388207
New York,Webb Heights,41.4345871,-74.4306308
New York,Squirrel Hills,41.4317992,-74.4503051
New York,Powder Horn Estates,41.4327179,-74.4415912
New York,Evergreen Manor Apartments,41.4325303,-74.4444936
New York,Juniper Hills Apartments,41.4350974,-74.4441792
New York,Mountainside Hills Condos,41.4343826,-74.4454157
New York,Buttonwood Hills Condominiums,41.4358898,-74.4426169
New York,Sunny Acres,41.4389858,-74.4467681
New York,Meadowfield,41.4627245,-74.4015584
New York,Diamond District,40.7573718,-73.9801578
New York,College-in-the-Woods Community,42.0858347,-75.9667898
New York,Susquehanna Coummunity,42.0858077,-75.9751097
New York,Hillside Community,42.0875319,-75.9792389
New York,Flower District,40.7465957,-73.9920009
New York,Greenpoint Landing,40.7355201,-73.9604997
New York,Unknown,40.7926455,-73.5007766
New York,Windsor Terrace,40.6524221,-73.9796415
New York,Seneca Babcock,42.8761062,-78.8297118
New York,Kingsboro,43.0669986,-74.3360604
New York,Historic Downtown Gloversville,43.0510599,-74.3448499
New York,Bleecker Square,43.051785,-74.3463155
New York,South Gloversville Financial District,43.0284547,-74.3497044
New York,Boulevard,43.0550327,-74.3259793
New York,Melchoir Park,43.0572767,-74.3317474
New York,Industrial Park,42.9901958,-74.3977928
New York,DuBois Gardens,43.0574325,-74.3582287
New York,East Kingsboro,43.0673063,-74.3316015
New York,North Gloversville,43.0704102,-74.3379522
New York,Saint Thomas Square,43.0529886,-74.3454243
New York,North Manor Estates,40.7084719,-73.4106133
New York,Camp Mountaineer,44.2610205,-74.6565958
New York,Old Dickinson,42.0883646,-75.9646089
New York,942 - AGS Booster,40.8754397,-72.8814907
New York,Prospect Park South,40.6464967,-73.967125
New York,Albemarle-Kenmore Terraces Historic District,40.6487867,-73.9592283
New York,Camp Waubeeka,43.7516294,-73.6667647
New York,Camp Buckskin,43.7580073,-73.6500116
New York,Allsop-Fisher Salt Marsh,40.8882765,-73.5662099
New York,Farmingdale Villas,40.7147078,-73.4305921
New York,Unknown,40.7133028,-73.4308919
New York,Main Street Villas,40.7125441,-73.4304584
New York,Presidential Estates,42.835453,-73.7789125
New York,San Remo,40.8947093,-73.2193697
New York,Westchester Square,40.8391782,-73.8463661
New York,Downtown Jamestown,42.0961104,-79.2400033
New York,Brooklyn Square,42.0931732,-79.2390345
New York,Baychester,40.8707565,-73.8417711
New York,Hollywood,28.4767279,-81.4671415
New York,Minion Land on Illumination Avenue,28.4756253,-81.4683447
New York,San Francisco,28.4783833,-81.4695673
New York,Hillview Heights,42.7143643,-73.6803041
New York,Emerald Greens,42.7024959,-73.6798154
New York,Greenpoint,40.7289732,-73.9460045
New York,Coeymans CDP,42.477877,-73.7960485
New York,Lancaster,42.9100655,-78.637295
New York,Orchard Park,42.8247234,-73.8861163
New York,Uptown,43.4846263,-75.3386984
New York,Downtown,43.4800044,-75.3317345
New York,Fort George,40.85844,-73.9298867
New York,Herald Square,40.7495406,-73.9879779
New York,Stuy Town,40.7317364,-73.976883
New York,Hawthorne Hill,42.8028217,-73.8796294
New York,Battery Harris West,40.5603689,-73.8959694
New York,Greenwood Heights,40.6567262,-73.9980719
New York,Genesee Valley Park,43.1138184,-77.6462785
New York,Quaker Mill,41.4361308,-74.0488972
Los Angeles,Harbor City,33.7977986,-118.2951841
Los Angeles,Harbor Pines,33.7829586,-118.3038097
Los Angeles,Ramona Gardens,34.0583064,-118.1954186
Los Angeles,Los Feliz,34.1079663,-118.2880824
