name,type,latitude,longitude
Trader Joe's,supermarket,34.0203234,-118.422068
Sepulveda Dam Recreation Area,park,34.1763942,-118.485361
Aggeler High School,school,34.2422185,-118.592719
Aldama Elementary School,school,34.1102869,-118.206461
All Saints School,school,34.0858432,-118.1720161
Alta Loma Elementary School,school,34.0430891,-118.3400559
Apperson Elementary School,school,34.2551709,-118.3072971
Arlington Heights Elementary School,school,34.0408448,-118.3247982
Arminta Elementary School,school,34.2152821,-118.3825803
Arroyo Seco Park,park,34.104089,-118.1895507
Art Center School,school,34.0694546,-118.3361878
Ascension School,school,33.9332724,-118.2828355
Assumption School,school,34.047234,-118.19785
Bellagio Newcomer Center,school,34.0821132,-118.462462
Sal Castro Middle School,school,34.0627892,-118.2625745
Bernedo Middle School,school,34.0497338,-118.2942418
Blessed Sacrament School,school,34.0986383,-118.3394992
Harte Preparatory Intermediate School,school,33.9514036,-118.287296
Buckley High School,school,34.1525063,-118.4320254
Burbank Elementary School,school,34.1708391,-118.3995246
Burmar School,school,34.1586169,-118.4928609
Burnside Avenue School,school,34.046122,-118.3556324
Burton Street Elementary School,school,34.2196221,-118.4415114
Bushnell Way Elementary School,school,34.1027871,-118.1886834
Byrd Middle School,school,34.2358368,-118.3973034
Cabrillo Beach Park,park,33.7098918,-118.2834937
Cahuenga Elementary School,school,34.0705661,-118.3053535
California School,school,34.1650057,-118.4675825
Calvary School,school,34.2305593,-118.437027
Camellia Elementary School,school,34.2061157,-118.3828579
Castelar Elementary School,school,34.064243,-118.2399896
Cathedral Chapel School,school,34.0607833,-118.3480679
Chandler Elementary School,school,34.1657811,-118.4390964
Chase Elementary School,school,34.2265497,-118.4397316
Unknown,school,34.2541698,-118.5856432
Armenian Evangelical School,school,34.1566729,-118.4239697
Colfax Elementary School,school,34.1607643,-118.3890748
Commonwealth Elementary School,school,34.0694552,-118.2859085
Bridges Academy,school,34.1416736,-118.3948018
Cutler Academy,school,34.0691775,-118.2897975
Delevan Drive Elementary School,school,34.1280376,-118.2270831
Divine Saviour School,school,34.0883435,-118.222573
Dolores Mission School,school,34.0447343,-118.2203507
The John Thomas Dye School,school,34.0874621,-118.4634176
Egremont School,school,34.1705609,-118.5114729
Elysian Heights Elementary School,school,34.0888992,-118.2495187
Westchester-Emerson Community Adult School,school,33.9567542,-118.4038398
Fernangeles Elementary School,school,34.2311148,-118.3953588
Broadous Elementary School,school,34.2827795,-118.4070262
First Lutheran School,school,34.0241778,-118.3998
Fletcher Drive Elementary School,school,34.1177867,-118.2403519
Foshay Learning Center,school,34.0189016,-118.3070196
Fries Elementary School,school,33.7886289,-118.2659045
Garden Grove Avenue School,school,34.2052822,-118.5292518
Gardena Elementary School,school,33.8822381,-118.2867395
Glenfeliz Boulevard Elementary School,school,34.1225086,-118.2678529
Gravois Avenue School,school,34.069455,-118.165904
Gridley Elementary School,school,34.3025009,-118.4292492
Guardian Angel School,school,34.2683162,-118.4148091
Gulf Elementary School,school,33.7856716,-118.2727028
Haddon Elementary School,school,34.2538912,-118.4215402
Halldale Elementary School,school,33.8327943,-118.3011836
Hancock Park Elementary School,school,34.0694543,-118.3609107
Harbor City Christian School,school,33.7922396,-118.2900717
Harbor City Elementary School,school,33.7930637,-118.3035423
Hesby Street School,school,34.1616725,-118.4734159
Hillside Elementary School,school,34.085288,-118.212573
Hollywood Senior High School,school,34.0988979,-118.3400772
Holy Cross School,school,33.9998461,-118.2742377
Holy Name School,school,34.0258456,-118.3139644
Holy Spirit School,school,34.0475109,-118.3550769
Holy Trinity School,school,33.7444625,-118.3034047
Holy Trinity School,school,34.1205644,-118.2611861
Hyde Park Elementary School,school,33.9800135,-118.3272974
Immaculate Conception School,school,34.050923,-118.2712286
Immaculate Heart of Mary School,school,34.0902876,-118.2978535
Irving Middle School,school,34.1163979,-118.2409075
John A Sutter Junior High School,school,34.2031088,-118.5704245
Unknown,school,34.1678294,-118.4584598
Kittridge Elementary School,school,34.1908383,-118.4303594
Lasuen High School,school,33.7247408,-118.3109049
Laurel School,school,34.087787,-118.3628554
Light and Life School,school,34.3063896,-118.4384162
Los Angeles College Aircraft School,school,33.9477908,-118.3956319
Charles Leroy Lowman Special Education Center,school,34.2066712,-118.4131368
Loyola University,school,34.0491786,-118.2711857
Madison Middle School,school,34.1963235,-118.4172544
Maier High School,school,33.9768638,-118.3261138
Malabar Elementary School,school,34.0444832,-118.1944023
Manchester School,school,33.9616814,-118.2778515
Mary Immaculate School,school,34.2588915,-118.4345273
Maryknoll School,school,34.0469832,-118.2353941
Marymount Junior School,school,34.06112,-118.4753583
Melrose Elementary School,school,34.0841762,-118.3447993
Metropolitan Continuation High School,school,34.0341794,-118.2342399
Montague Elementary School,school,34.2442707,-118.4154189
Montclair College Prep School,school,34.21736,-118.4669256
Mother of Good Counsel School,school,34.1091757,-118.2909091
Mother of Sorrows School,school,33.9575148,-118.2742402
Mount Gleason Middle School,school,34.2688911,-118.3028556
Mount Saint Mary's College - Chalon Campus,school,34.0852966,-118.4823105
Cochran Middle School,school,34.0419559,-118.3264649
Mount Washington Elementary School,school,34.1052872,-118.2150733
Mountain View Elementary School,school,34.2486141,-118.2725766
National Schools,school,34.0105691,-118.2820189
Nativity School,school,33.9905695,-118.29063
Nazareth House for Boys,school,34.1655613,-118.4653601
New Horizons Center,school,34.2291704,-118.4756396
Ninety-Seventh Street Children's Center,school,33.948929,-118.2816815
Normont Elementary School,school,33.7951262,-118.293282
Oakwood School,school,34.1497464,-118.3757654
Olive View School,school,34.3200002,-118.436471
Osceola Elementary School,school,34.290557,-118.4556391
Our Lady of the Angels School,school,34.0700101,-118.3453546
Our Lady of the Holy Rosary School,school,34.2127822,-118.3695242
Our Lady of the Valley School,school,34.19982,-118.6072309
Our Lady of Loretto High School,school,34.0686221,-118.2703524
Our Lady of Loretto School (former),school,34.0669556,-118.2636856
Our Lady of Lourdes School,school,34.2562986,-118.292479
Our Lady Help of Christians School,school,34.0673037,-118.2172593
Our Saviors School,school,34.2722243,-118.493974
Oxnard Elementary School,school,34.1777835,-118.3689682
Pacific States University,school,34.0613171,-118.2985065
Pacoima Middle School,school,34.2497252,-118.4248047
Panorama Baptist School,school,34.2294258,-118.4364902
Park Western Elementary School,school,33.7527957,-118.304238
Plainview Elementary School,school,34.2655579,-118.298411
Precious Blood School,school,34.0675109,-118.2825751
Ranchito Elementary School,school,34.2151649,-118.4338295
Reeves Field,park,33.7513327,-118.2537947
Resurrection School,school,34.0222493,-118.2046752
Rio Vista Elementary School,school,34.1477847,-118.3678565
Roscoe Elementary School,school,34.2161154,-118.3667464
Sacred Heart High School,school,34.0700109,-118.2134062
Saint Agnes Elementary School,school,34.0319568,-118.2922972
Saint Augustine School,school,34.0217743,-118.400036
Saint Bernadette School,school,34.0083459,-118.3420204
Saint Bridget of Sweden School,school,34.2001498,-118.4976494
Saint Brigid School,school,33.9950136,-118.3084083
Saint Casimir School,school,34.1078048,-118.2752055
Saint Cecilia School,school,34.0064023,-118.2995193
Saint Charles Borromeo School,school,34.1499449,-118.367423
Saint Columbkille School,school,33.9816926,-118.2754341
Saint Cyril School,school,34.1538949,-118.4739713
Saint Didacus School,school,34.3061118,-118.4445276
Saint Elisabeth School,school,34.191116,-118.4528602
Saint Francis of Assisi School,school,34.09001,-118.2759084
Saint Genevieve High School,school,34.2219483,-118.4389714
Saint Gregory School,school,34.0552582,-118.3203701
Saint Ignatius of Loyola Catholic School,school,34.1138237,-118.1908635
Saint Jane Frances School,school,34.1874316,-118.415682
Saint Johns School,school,33.9850134,-118.3325754
Saint Marks School,school,33.9914002,-118.4534119
Saint Martin of Tours School,school,34.0624021,-118.473809
Saint Marys School,school,34.0416789,-118.2153505
Saint Odilias School,school,33.9944589,-118.2517401
Saint Patrick School,school,34.0125138,-118.2578516
Saint Patrick School,school,34.1825056,-118.3628568
Saint Pauls School,school,34.0383449,-118.3292427
Saint Teresa of Avila School,school,34.0919545,-118.259519
Saint Timothy School,school,34.0457679,-118.4186059
"California State University, Northridge",school,34.2389212,-118.529324
School for Cerebral Palsied Children,school,34.0628851,-118.1721594
Seminary of Our Lady Queen of the Angels,school,34.2741687,-118.4595282
Crescenta Valley Adventist School,school,34.233337,-118.267854
Sharp Elementary School,school,34.2525029,-118.4325828
Shirley Elementary School,school,34.1967806,-118.5573611
Shoemaker School,school,33.740296,-118.3095159
Short Elementary School,school,33.9900912,-118.4319857
Sierra Park Elementary School,school,34.0822355,-118.1689687
Stonehurst Elementary School,school,34.2491697,-118.3703581
Strathern Elementary School,school,34.2147265,-118.4003587
Talpa School,school,34.0368949,-118.2050846
Theodore Roosevelt School,school,33.9899859,-118.453211
Toland Way Elementary School,school,34.1211511,-118.217246
Toluca Lake Elementary School,school,34.1592927,-118.3610361
Transfiguration School,school,34.0116795,-118.3209088
Twenty-Fourth Street Elementary School,school,34.035012,-118.3109088
Union Elementary School,school,34.0636224,-118.2667412
Valley School,school,34.2008378,-118.475639
Vena Elementary School,school,34.2400033,-118.4211933
Vermont Elementary School,school,34.0308482,-118.2926332
Victory Elementary School,school,34.1852831,-118.3931357
Village Christian School,school,34.2302815,-118.3556351
Vinedale Elementary School,school,34.2338925,-118.3523017
Visitation Elementary School,school,33.9585759,-118.4040575
Washington Boulevard School,school,34.0386231,-118.2961863
West Coast Seminary,school,34.1722281,-118.3714682
Wilton Place Elementary School,school,34.0583443,-118.3145203
Yeshiva University High School,school,34.0538066,-118.4012756
Yorkdale Elementary School,school,34.1208419,-118.1942393
Second Street Elementary School,school,34.044925,-118.2173607
Annandale Elementary School,school,34.1286409,-118.1869683
Dahlia Heights Elementary School,school,34.1386189,-118.1992396
Pasko Park,park,34.2488919,-118.299522
Lakeview Terrace Sanitarium,hospital,34.274213,-118.3365343
Queen Anne Elementary School,school,34.0511898,-118.3308661
San Pedro Park,park,33.7322405,-118.3175717
Eagle Rock Hillside Park,park,34.149174,-118.2009064
Glassell Park,park,34.1161201,-118.2289627
Southwestern University School of Law,school,34.0606083,-118.2895821
